mixture	sample	component	role	host_known_pct	known_pct	est_pct	ci_lo	ci_hi	seed	qc
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep5	F2	host	0.1000	0.1000	0.1100			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep5	M1	donor	0.1000	49.9500	49.6900	49.2100	49.8000	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d49.95-49.95_rep5	M2	donor	0.1000	49.9500	50.2000	49.7100	50.3100	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep5	F2	host	0.1000	0.1000	0.0000			5	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep5	M1	donor	0.1000	66.6000	65.0000	0.0000	100.0000	5	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.1_d66.6-33.3_rep5	M2	donor	0.1000	33.3000	35.0000	0.0000	100.0000	5	REVIEW
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep1	F2	host	0.2000	0.2000	0.2100			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep1	M1	donor	0.2000	49.9000	49.6400	49.1600	49.8600	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep1	M2	donor	0.2000	49.9000	50.1400	49.6600	50.3600	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep1	F2	host	0.2000	0.2000	0.1700			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep1	M1	donor	0.2000	66.5333	66.1600	65.7300	66.3200	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep1	M2	donor	0.2000	33.2667	33.6800	33.2500	33.8400	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep2	F2	host	0.2000	0.2000	0.2100			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep2	M1	donor	0.2000	49.9000	49.6400	49.1600	49.8500	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep2	M2	donor	0.2000	49.9000	50.1500	49.6700	50.3600	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep2	F2	host	0.2000	0.2000	0.1600			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep2	M1	donor	0.2000	66.5333	66.1400	65.7100	66.3000	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep2	M2	donor	0.2000	33.2667	33.7000	33.2700	33.8600	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep3	F2	host	0.2000	0.2000	0.2200			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep3	M1	donor	0.2000	49.9000	49.6300	49.1400	49.8500	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep3	M2	donor	0.2000	49.9000	50.1500	49.6700	50.3700	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep3	F2	host	0.2000	0.2000	0.1700			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep3	M1	donor	0.2000	66.5333	66.1500	65.7200	66.3300	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep3	M2	donor	0.2000	33.2667	33.6700	33.2400	33.8500	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep4	F2	host	0.2000	0.2000	0.2200			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep4	M1	donor	0.2000	49.9000	49.6200	49.1400	49.8500	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep4	M2	donor	0.2000	49.9000	50.1500	49.6700	50.3700	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep4	F2	host	0.2000	0.2000	0.1700			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep4	M1	donor	0.2000	66.5333	66.1400	65.7100	66.3100	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep4	M2	donor	0.2000	33.2667	33.6900	33.2600	33.8600	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep5	F2	host	0.2000	0.2000	0.2100			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep5	M1	donor	0.2000	49.9000	49.6400	49.1600	49.8500	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d49.9-49.9_rep5	M2	donor	0.2000	49.9000	50.1400	49.6600	50.3600	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep5	F2	host	0.2000	0.2000	0.1700			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep5	M1	donor	0.2000	66.5333	66.1500	65.7200	66.3200	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.2_d66.5333-33.2667_rep5	M2	donor	0.2000	33.2667	33.6800	33.2600	33.8500	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep1	F2	host	0.3000	0.3000	0.3200			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep1	M1	donor	0.3000	49.8500	49.5900	49.1100	49.9100	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep1	M2	donor	0.3000	49.8500	50.0900	49.6100	50.4100	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep1	F2	host	0.3000	0.3000	0.2700			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep1	M1	donor	0.3000	66.4667	66.0900	65.6600	66.3600	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep1	M2	donor	0.3000	33.2333	33.6400	33.2200	33.9100	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep2	F2	host	0.3000	0.3000	0.3200			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep2	M1	donor	0.3000	49.8500	49.5800	49.1000	49.9000	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep2	M2	donor	0.3000	49.8500	50.1000	49.6200	50.4200	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep2	F2	host	0.3000	0.3000	0.2700			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep2	M1	donor	0.3000	66.4667	66.0700	65.6400	66.3300	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep2	M2	donor	0.3000	33.2333	33.6700	33.2400	33.9300	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep3	F2	host	0.3000	0.3000	0.3200			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep3	M1	donor	0.3000	49.8500	49.5800	49.0900	49.9000	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep3	M2	donor	0.3000	49.8500	50.1000	49.6200	50.4200	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep3	F2	host	0.3000	0.3000	0.2700			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep3	M1	donor	0.3000	66.4667	66.0900	65.6600	66.3600	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep3	M2	donor	0.3000	33.2333	33.6400	33.2100	33.9100	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep4	F2	host	0.3000	0.3000	0.3200			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep4	M1	donor	0.3000	49.8500	49.5700	49.0900	49.9000	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep4	M2	donor	0.3000	49.8500	50.1000	49.6200	50.4300	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep4	F2	host	0.3000	0.3000	0.2700			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep4	M1	donor	0.3000	66.4667	66.0700	65.6400	66.3400	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep4	M2	donor	0.3000	33.2333	33.6600	33.2300	33.9300	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep5	F2	host	0.3000	0.3000	0.3100			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep5	M1	donor	0.3000	49.8500	49.5900	49.1100	49.9100	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d49.85-49.85_rep5	M2	donor	0.3000	49.8500	50.0900	49.6100	50.4100	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep5	F2	host	0.3000	0.3000	0.2700			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep5	M1	donor	0.3000	66.4667	66.0800	65.6500	66.3500	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.3_d66.4667-33.2333_rep5	M2	donor	0.3000	33.2333	33.6500	33.2200	33.9200	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep1	F2	host	0.4000	0.4000	0.4200			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep1	M1	donor	0.4000	49.8000	49.5400	49.0500	49.9500	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep1	M2	donor	0.4000	49.8000	50.0500	49.5600	50.4600	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep1	F2	host	0.4000	0.4000	0.3700			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep1	M1	donor	0.4000	66.4000	66.0200	65.5900	66.3900	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep1	M2	donor	0.4000	33.2000	33.6100	33.1800	33.9800	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep2	F2	host	0.4000	0.4000	0.4200			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep2	M1	donor	0.4000	49.8000	49.5300	49.0500	49.9500	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep2	M2	donor	0.4000	49.8000	50.0500	49.5700	50.4700	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep2	F2	host	0.4000	0.4000	0.3700			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep2	M1	donor	0.4000	66.4000	66.0000	65.5700	66.3600	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep2	M2	donor	0.4000	33.2000	33.6400	33.2100	34.0000	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep3	F2	host	0.4000	0.4000	0.4200			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep3	M1	donor	0.4000	49.8000	49.5200	49.0400	49.9400	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep3	M2	donor	0.4000	49.8000	50.0600	49.5700	50.4800	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep3	F2	host	0.4000	0.4000	0.3700			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep3	M1	donor	0.4000	66.4000	66.0200	65.5900	66.3900	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep3	M2	donor	0.4000	33.2000	33.6100	33.1800	33.9800	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep4	F2	host	0.4000	0.4000	0.4200			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep4	M1	donor	0.4000	49.8000	49.5200	49.0400	49.9400	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep4	M2	donor	0.4000	49.8000	50.0600	49.5700	50.4800	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep4	F2	host	0.4000	0.4000	0.3700			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep4	M1	donor	0.4000	66.4000	66.0000	65.5700	66.3700	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep4	M2	donor	0.4000	33.2000	33.6300	33.2000	34.0000	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep5	F2	host	0.4000	0.4000	0.4100			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep5	M1	donor	0.4000	49.8000	49.5400	49.0600	49.9500	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d49.8-49.8_rep5	M2	donor	0.4000	49.8000	50.0500	49.5700	50.4600	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep5	F2	host	0.4000	0.4000	0.3700			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep5	M1	donor	0.4000	66.4000	66.0100	65.5800	66.3800	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.4_d66.4-33.2_rep5	M2	donor	0.4000	33.2000	33.6200	33.1900	33.9900	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep1	F2	host	0.5000	0.5000	0.5200			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep1	M1	donor	0.5000	49.7500	49.4800	49.0000	49.9700	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep1	M2	donor	0.5000	49.7500	50.0000	49.5100	50.4800	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep1	F2	host	0.5000	0.5000	0.4700			1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep1	M1	donor	0.5000	66.3333	65.9500	65.5200	66.3700	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep1	M2	donor	0.5000	33.1667	33.5800	33.1600	34.0100	1	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep2	F2	host	0.5000	0.5000	0.5200			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep2	M1	donor	0.5000	49.7500	49.4800	49.0000	49.9600	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep2	M2	donor	0.5000	49.7500	50.0000	49.5200	50.4900	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep2	F2	host	0.5000	0.5000	0.4600			2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep2	M1	donor	0.5000	66.3333	65.9300	65.5000	66.3600	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep2	M2	donor	0.5000	33.1667	33.6100	33.1800	34.0400	2	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep3	F2	host	0.5000	0.5000	0.5200			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep3	M1	donor	0.5000	49.7500	49.4700	48.9900	49.9600	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep3	M2	donor	0.5000	49.7500	50.0100	49.5200	50.4900	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep3	F2	host	0.5000	0.5000	0.4700			3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep3	M1	donor	0.5000	66.3333	65.9500	65.5200	66.3800	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep3	M2	donor	0.5000	33.1667	33.5800	33.1500	34.0100	3	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep4	F2	host	0.5000	0.5000	0.5300			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep4	M1	donor	0.5000	49.7500	49.4700	48.9900	49.9500	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep4	M2	donor	0.5000	49.7500	50.0100	49.5200	50.4900	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep4	F2	host	0.5000	0.5000	0.4700			4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep4	M1	donor	0.5000	66.3333	65.9300	65.5000	66.3500	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep4	M2	donor	0.5000	33.1667	33.6000	33.1700	34.0300	4	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep5	F2	host	0.5000	0.5000	0.5100			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep5	M1	donor	0.5000	49.7500	49.4900	49.0100	49.9700	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d49.75-49.75_rep5	M2	donor	0.5000	49.7500	50.0000	49.5200	50.4900	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep5	F2	host	0.5000	0.5000	0.4600			5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep5	M1	donor	0.5000	66.3333	65.9500	65.5200	66.3700	5	PASS
mix_F2_M1_into_M2	syn3_F2-M1-M2_h0.5_d66.3333-33.1667_rep5	M2	donor	0.5000	33.1667	33.5900	33.1600	34.0200	5	PASS
