mixture	sample	host	donor	known_pct	mle_pct	mle_ci_lo	mle_ci_hi	presence_pct	presence_ci_lo	presence_ci_hi	presence_p	presence_markers	contamination_frac	n_used	mean_depth	gof_pval	qc
mix_F3_into_F2	1_99_F3-F2_v2	F3	F2	1.0000	1.2400	1.0500	1.4600	0.6871	0.6501	0.7248	0.0000	351	0.0019	505	1640	0.0000	PASS
mix_F3_into_F2	1_79_F3-F2_v2	F3	F2	1.2500	1.1000	0.9200	1.3200	0.8560	0.8182	0.8945	0.0000	347	0.0012	515	1652	0.5072	PASS
mix_F3_into_F2	1_39_F3-F2_v2	F3	F2	2.5000	3.1500	2.8400	3.4900	2.3018	2.2446	2.3597	0.0000	350	0.0026	533	1543	0.0000	PASS
mix_F3_into_F2	1_19_F3-F2_v2	F3	F2	5.0000	4.8700	4.4400	5.3600	4.5078	4.4340	4.5823	0.0000	348	0.0020	550	1557	0.3935	PASS
mix_F3_into_F2	1_9_F3-F2_v2	F3	F2	10.0000	10.8100	10.2300	11.4400	9.8136	9.7128	9.9148	0.0000	349	0.0024	559	1585	1.0000	PASS
mix_F3_into_F2	F3	F3	F2		99.9500	99.8700	100.0000	99.2312	99.2068	99.2545	0.0000	350	0.0013	482	1742	0.0000	REVIEW
mix_F3_into_F2	F2	F3	F2		0.1700	0.1100	0.2200	0.0000	0.0000	0.0000	1.0000	348	0.0024	491	1573	0.9490	PASS
mix_M1_into_M2	1_199_M1-M2_v1	M1	M2	0.5000	0.0900	0.0400	0.1500	0.0364	0.0313	0.0416	0.0000	332	0.0002	511	33402	0.0001	REVIEW
mix_M1_into_M2	1_99_M1-M2-degraded	M1	M2	1.0000	0.7100	0.5600	0.8900	0.6248	0.6092	0.6406	0.0000	329	0.0001	518	7905	0.1489	PASS
mix_M1_into_M2	1_39_M1-M2-degraded	M1	M2	2.5000	2.2500	1.9800	2.5800	1.9153	1.8862	1.9446	0.0000	332	0.0001	552	4957	0.0426	PASS
mix_M1_into_M2	1_9_M1-M2-degraded	M1	M2	10.0000	9.8400	9.3700	10.3300	9.4818	9.4236	9.5402	0.0000	334	0.0001	577	4866	1.0000	PASS
mix_M1_into_M2	M1	M1	M2		100.0000	99.9900	100.0000	99.3746	99.3667	99.3823	0.0000	334	0.0008	511	13463	0.0892	PASS
mix_M1_into_M2	M2	M1	M2		0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	1.0000	334	0.0007	492	16455	0.0000	REVIEW
mix_M3_into_F1	1_99_M3-F1_v2	M3	F1	1.0000	1.0300	0.8600	1.2300	0.5783	0.5432	0.6140	0.0000	358	0.0019	525	1531	0.9385	PASS
mix_M3_into_F1	1_79_M3-F1_v2	M3	F1	1.2500	1.2900	1.1200	1.4800	0.8443	0.8079	0.8813	0.0000	358	0.0020	540	1714	0.4129	PASS
mix_M3_into_F1	1_39_M3-F1_v2	M3	F1	2.5000	2.8000	2.5100	3.1200	2.1345	2.0779	2.1919	0.0000	358	0.0020	564	1294	0.0500	PASS
mix_M3_into_F1	1_19_M3-F1_v2	M3	F1	5.0000	5.4600	5.0300	5.9400	4.6171	4.5452	4.6896	0.0000	359	0.0022	570	1504	0.1670	PASS
mix_M3_into_F1	1_9_M3-F1_v2	M3	F1	10.0000	11.7900	11.1100	12.5100	10.4963	10.4018	10.5912	0.0000	360	0.0020	595	1703	0.9890	PASS
mix_M3_into_F1	M3	M3	F1		99.7500	99.6600	99.8300	98.9644	98.9373	98.9905	0.0000	361	0.0023	481	1886	0.0000	REVIEW
mix_M3_into_F1	F1	M3	F1		0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	1.0000	360	0.0016	520	1767	1.0000	PASS
mix_M3_into_F2	1_99_M3-F2_v2	M3	F2	1.0000	1.2400	1.0700	1.4500	0.7490	0.7136	0.7849	0.0000	345	0.0021	520	1922	0.5651	PASS
mix_M3_into_F2	1_79_M3-F2_v2	M3	F2	1.2500	1.3600	1.1700	1.5800	0.8545	0.8155	0.8941	0.0000	343	0.0021	528	1735	0.0001	PASS
mix_M3_into_F2	1_39_M3-F2_v2	M3	F2	2.5000	3.2000	2.8700	3.5700	2.4876	2.4240	2.5521	0.0000	335	0.0019	527	1309	0.3295	PASS
mix_M3_into_F2	1_19_M3-F2_v2	M3	F2	5.0000	5.4000	4.9400	5.9000	4.6708	4.5970	4.7451	0.0000	342	0.0026	560	1609	0.9994	PASS
mix_M3_into_F2	1_9_M3-F2_v2	M3	F2	10.0000	11.1100	10.4100	11.8700	9.8570	9.7602	9.9544	0.0000	345	0.0019	565	1712	1.0000	PASS
mix_M3_into_F2	M3	M3	F2		99.7600	99.6700	99.8400	98.9973	98.9707	99.0227	0.0000	345	0.0024	486	2001	0.0000	REVIEW
mix_M3_into_F2	F2	M3	F2		0.2300	0.1700	0.3000	0.0000	0.0000	0.0000	1.0000	341	0.0028	489	1572	0.2424	PASS
mix_M3_into_F3	1_99_M3-F3_v2	M3	F3	1.0000	1.4500	1.2300	1.7100	0.8468	0.8049	0.8894	0.0000	332	0.0018	520	1510	0.0000	PASS
mix_M3_into_F3	1_79_M3-F3_v2	M3	F3	1.2500	1.7000	1.5000	1.9400	1.0920	1.0494	1.1351	0.0000	335	0.0024	529	1759	0.2415	PASS
mix_M3_into_F3	1_39_M3-F3_v2	M3	F3	2.5000	3.2900	2.9400	3.6900	2.5829	2.5170	2.6496	0.0000	335	0.0031	547	1347	0.0048	PASS
mix_M3_into_F3	1_19_M3-F3_v2	M3	F3	5.0000	5.1200	4.6700	5.6100	4.2662	4.1931	4.3399	0.0000	335	0.0024	558	1578	0.0000	PASS
mix_M3_into_F3	1_9_M3-F3_v2	M3	F3	10.0000	12.3400	11.6100	13.1100	10.7603	10.6563	10.8649	0.0000	325	0.0022	553	1697	0.9949	PASS
mix_M3_into_F3	M3	M3	F3		99.8500	99.7900	99.9100	98.9927	98.9638	99.0205	0.0000	334	0.0023	481	1925	0.0000	REVIEW
mix_M3_into_F3	F3	M3	F3		0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	1.0000	332	0.0020	489	1691	0.9998	PASS
mix_M3_into_M4	1_99_M3-M4_v2	M3	M4	1.0000	1.5600	1.3400	1.8100	0.7969	0.7567	0.8378	0.0000	367	0.0024	529	1492	0.0000	PASS
mix_M3_into_M4	1_79_M3-M4_v2	M3	M4	1.2500	1.8000	1.5700	2.0800	1.1493	1.1073	1.1919	0.0000	367	0.0019	526	1608	0.0002	PASS
mix_M3_into_M4	1_39_M3-M4_v2	M3	M4	2.5000	3.1700	2.8300	3.5500	2.2884	2.2350	2.3425	0.0000	364	0.0024	557	1638	0.0269	PASS
mix_M3_into_M4	1_19_M3-M4_v2	M3	M4	5.0000	5.3100	4.9200	5.7400	4.4123	4.3461	4.4789	0.0000	362	0.0021	560	1781	0.9999	PASS
mix_M3_into_M4	1_9_M3-M4_v2	M3	M4	10.0000	10.8300	10.3000	11.3800	9.8117	9.7227	9.9011	0.0000	364	0.0026	586	1925	1.0000	PASS
mix_M3_into_M4	M3	M3	M4		99.8500	99.7800	99.9000	99.0021	98.9746	99.0286	0.0000	367	0.0023	473	1983	0.0000	REVIEW
mix_M3_into_M4	M4	M3	M4		0.0000	0.0000	0.0300	0.0000	0.0000	0.0000	1.0000	366	0.0016	520	1776	1.0000	PASS
